sale_id,customer_id,product_id,quantity,sale_date
1,3187,101,2,2024-08-04
2,3752,103,2,2024-01-15
3,4851,102,2,2024-11-27
4,4100,103,1,2024-07-11
5,1955,102,3,2024-03-03
6,2833,101,3,2024-06-04
7,1525,103,2,2024-08-15
8,2660,101,2,2024-11-24
9,1730,102,3,2024-10-13
10,1927,103,2,2024-11-08
11,2637,101,3,2024-09-25
12,3763,103,2,2024-11-05
13,76,103,3,2024-08-22
14,1182,102,2,2024-04-17
15,3626,101,3,2024-05-17
16,3351,102,3,2024-06-26
17,165,104,2,2024-06-06
18,1131,102,1,2024-10-03
19,699,104,2,2024-03-21
20,223,101,1,2024-11-08
21,500,102,2,2024-05-03
22,2234,102,1,2024-12-26
23,3514,102,2,2024-04-03
24,914,101,1,2024-04-03
25,145,103,2,2024-09-28
26,450,103,3,2024-08-11
27,3095,101,2,2024-10-05
28,2867,101,2,2024-01-03
29,1908,101,1,2024-03-18
30,3014,101,1,2024-05-25
31,2541,104,3,2024-01-19
32,1471,103,3,2024-02-22
33,4937,104,1,2024-11-03
34,4641,103,2,2024-02-23
35,3747,104,3,2024-06-20
36,3848,103,3,2024-05-20
37,1503,103,2,2024-03-10
38,810,101,3,2024-11-07
39,4151,104,3,2024-06-27
40,4734,104,3,2024-03-05
41,2657,104,2,2024-07-12
42,4556,102,3,2024-08-09
43,3910,103,2,2024-05-16
44,1357,102,3,2024-01-26
45,2923,103,1,2024-09-22
46,1641,103,2,2024-04-10
47,2480,102,1,2024-03-05
48,3088,101,1,2024-10-16
49,1785,104,2,2024-11-19
50,4682,103,3,2024-12-20
51,301,104,2,2024-01-11
52,3992,104,3,2024-01-15
53,2537,103,1,2024-10-27
54,1770,101,3,2024-10-03
55,4943,103,3,2024-01-22
56,1916,102,1,2024-08-12
57,112,103,3,2024-02-25
58,706,101,3,2024-07-15
59,2541,103,1,2024-07-20
60,3772,101,2,2024-04-07
61,804,103,2,2024-11-10
62,2888,101,3,2024-05-13
63,2786,102,1,2024-05-14
64,4613,104,1,2024-06-18
65,3375,102,3,2024-03-11
66,288,101,1,2024-02-25
67,1094,102,1,2024-09-05
68,3152,101,2,2024-04-16
69,1827,101,2,2024-02-02
70,4903,104,1,2024-04-02
71,1998,101,1,2024-06-27
72,2172,103,3,2024-04-26
73,4982,104,2,2024-11-20
74,4408,103,1,2024-05-01
75,1949,104,3,2024-08-13
76,2357,101,2,2024-01-22
77,1750,102,3,2024-06-13
78,2889,104,3,2024-01-19
79,4242,102,2,2024-05-02
80,1285,103,3,2024-05-27
81,2459,101,1,2024-05-03
82,4474,103,2,2024-08-02
83,254,102,1,2024-03-25
84,4340,103,1,2024-02-03
85,2240,104,1,2024-09-23
86,3077,103,1,2024-04-11
87,3576,104,1,2024-11-05
88,2318,101,1,2024-12-10
89,3088,101,1,2024-03-15
90,2686,101,3,2024-02-24
91,392,101,3,2024-05-27
92,4840,102,1,2024-02-07
93,2312,103,1,2024-10-09
94,1719,103,2,2024-10-02
95,4219,102,2,2024-06-12
96,1524,104,2,2024-03-23
97,603,103,3,2024-05-22
98,4800,103,2,2024-12-13
99,3216,103,2,2024-09-08
100,2829,102,1,2024-02-15
101,1844,101,3,2024-01-01
102,1671,104,3,2024-04-15
103,4423,103,3,2024-10-11
104,1627,101,3,2024-03-20
105,3980,102,1,2024-01-15
106,1514,102,3,2024-03-20
107,570,104,3,2024-11-02
108,1997,104,2,2024-03-24
109,1370,101,2,2024-09-18
110,3322,104,1,2024-08-16
111,569,104,3,2024-08-05
112,2256,104,3,2024-09-24
113,1885,104,3,2024-10-27
114,2407,101,1,2024-02-24
115,2998,103,2,2024-12-10
116,375,102,3,2024-11-15
117,2740,103,3,2024-09-23
118,316,102,3,2024-11-25
119,4905,101,1,2024-11-20
120,4406,102,2,2024-05-13
121,2811,102,1,2024-10-26
122,1894,103,1,2024-03-20
123,1150,102,1,2024-05-04
124,976,101,1,2024-12-12
125,895,102,1,2024-09-11
126,1067,104,2,2024-07-23
127,3385,104,1,2024-04-25
128,4817,104,3,2024-04-27
129,2660,102,3,2024-08-09
130,1582,101,2,2024-08-05
131,2460,101,2,2024-01-27
132,2178,101,1,2024-07-08
133,3658,102,3,2024-04-20
134,4147,101,1,2024-05-21
135,2658,103,2,2024-02-25
136,2994,104,2,2024-06-07
137,280,102,1,2024-08-15
138,4163,103,1,2024-02-16
139,4818,101,3,2024-12-04
140,1884,103,1,2024-03-09
141,2672,103,1,2024-08-06
142,3723,102,2,2024-07-21
143,2125,104,3,2024-12-25
144,1689,103,2,2024-12-18
145,1931,102,1,2024-12-10
146,4810,104,3,2024-04-19
147,3269,103,3,2024-09-06
148,4411,104,2,2024-07-20
149,462,102,1,2024-08-08
150,1364,103,3,2024-02-06
151,3143,102,3,2024-05-05
152,3002,103,1,2024-12-24
153,1437,103,3,2024-06-08
154,30,101,3,2024-08-25
155,3305,103,3,2024-12-21
156,3018,102,1,2024-08-13
157,3231,103,1,2024-02-19
158,4482,103,3,2024-07-21
159,4746,101,3,2024-10-25
160,2501,101,1,2024-04-18
161,3593,101,3,2024-03-18
162,464,101,2,2024-06-09
163,4269,101,2,2024-03-14
164,557,101,3,2024-08-11
165,1559,102,1,2024-11-25
166,1303,103,2,2024-09-04
167,3539,102,1,2024-10-07
168,4593,102,2,2024-02-26
169,4454,101,1,2024-04-01
170,3312,101,2,2024-10-26
171,1909,104,3,2024-10-11
172,3146,103,3,2024-07-05
173,3921,102,2,2024-05-23
174,1169,104,1,2024-11-10
175,1473,101,1,2024-10-06
176,2702,101,1,2024-12-26
177,2946,103,3,2024-05-11
178,2497,104,3,2024-12-02
179,107,102,2,2024-11-01
180,518,101,3,2024-07-11
181,3025,104,3,2024-10-20
182,3754,103,3,2024-08-04
183,4432,103,1,2024-02-04
184,766,101,3,2024-07-15
185,3204,102,3,2024-06-05
186,916,102,2,2024-07-05
187,4273,102,3,2024-05-27
188,4446,102,1,2024-07-14
189,4524,104,1,2024-01-21
190,1058,102,2,2024-08-09
191,1819,101,2,2024-05-22
192,389,101,1,2024-01-15
193,4640,104,3,2024-03-19
194,380,103,2,2024-07-01
195,1131,103,2,2024-12-05
196,2017,102,2,2024-09-25
197,3310,102,3,2024-02-05
198,1075,104,1,2024-08-27
199,2147,104,3,2024-10-08
200,3153,103,2,2024-01-07
201,2302,103,2,2024-07-13
202,3895,102,1,2024-08-05
203,1708,101,2,2024-02-05
204,1029,103,1,2024-12-09
205,1554,103,2,2024-07-18
206,4062,103,2,2024-05-17
207,2877,103,2,2024-01-23
208,863,102,1,2024-12-01
209,4522,103,3,2024-08-25
210,877,102,3,2024-09-03
211,3518,102,3,2024-11-17
212,3963,102,2,2024-11-15
213,4221,103,1,2024-02-28
214,262,104,3,2024-07-10
215,376,103,3,2024-08-23
216,1479,103,1,2024-02-16
217,2674,104,1,2024-09-12
218,4492,104,2,2024-03-26
219,3326,102,2,2024-08-28
220,4664,101,1,2024-11-26
221,1999,104,2,2024-05-09
222,310,101,2,2024-09-16
223,2290,103,3,2024-07-27
224,3517,103,3,2024-11-11
225,358,104,1,2024-06-05
226,4606,104,1,2024-06-28
227,2648,101,3,2024-11-24
228,3328,101,2,2024-09-26
229,2603,103,2,2024-05-28
230,514,102,3,2024-08-19
231,2876,102,1,2024-10-21
232,2245,101,1,2024-01-11
233,4059,104,3,2024-04-12
234,2400,102,3,2024-10-27
235,710,101,1,2024-01-16
236,1192,103,2,2024-07-28
237,4544,102,3,2024-11-10
238,3326,102,1,2024-06-14
239,4412,101,1,2024-07-13
240,3669,101,3,2024-02-16
241,166,104,1,2024-09-28
242,177,101,1,2024-08-16
243,3293,104,1,2024-12-12
244,1075,102,2,2024-10-06
245,278,102,2,2024-10-10
246,226,104,1,2024-02-05
247,4917,103,2,2024-02-03
248,4743,103,3,2024-04-18
249,282,104,1,2024-06-05
250,4238,102,1,2024-01-02
251,604,102,2,2024-11-24
252,4135,103,3,2024-10-10
253,3103,103,2,2024-02-02
254,3768,104,3,2024-02-14
255,3673,104,3,2024-05-19
256,3291,104,1,2024-03-02
257,2120,102,2,2024-11-10
258,4601,102,1,2024-03-08
259,4282,104,1,2024-05-16
260,3963,102,1,2024-07-26
261,4834,101,3,2024-01-28
262,2823,101,2,2024-02-14
263,2670,104,3,2024-05-15
264,3321,101,1,2024-09-05
265,3074,101,3,2024-09-06
