RideID,PickupDateTime,DropoffDateTime,PickupZone,PickupLatitude,PickupLongitude,DropoffZone,DropoffLatitude,DropoffLongitude,DistanceKM,FareAmount,SurgeMultiplier,RideStatus,WaitingTimeMinutes,EstimatedTripDurationMinutes,ActualTripDurationMinutes,DriverID,CustomerID,CancellationReason,DriverRating,CustomerRating
R0,2024-01-22 04:21:55.332403,2024-01-22 04:32:55.332403,Hitec City,17.455692956844622,78.37291862059038,Banjara Hills,17.406564733278366,78.45095175233996,9.92,185.54,1.5,Cancelled by Customer,9,15,11,D8,C17,,4,3
R1,2024-05-19 04:41:37.261866,2024-05-19 05:19:37.261866,Gachibowli,17.43608306648697,78.34386247228667,Banjara Hills,17.416398917507056,78.44149344546321,10.59,234.08,1.2,Completed,2,42,38,D5,C10,,4,3
R2,2024-05-08 16:46:18.078066,2024-05-08 17:17:18.078066,Gachibowli,17.444889513110372,78.35355671639711,Gachibowli,17.44114623033018,78.35595052265198,0.49,102.38,1.5,Completed,7,30,31,D9,C12,,5,3
R3,2024-04-15 19:21:59.120795,2024-04-15 19:43:59.120795,Hitec City,17.450081166975878,78.3738577085142,Gachibowli,17.440794952491306,78.35372020118126,2.37,111.44,1.5,Cancelled by Customer,10,21,22,D3,C8,,5,3
R4,2024-02-28 01:04:13.757724,2024-02-28 01:25:13.757724,Gachibowli,17.431070816614646,78.35438726741492,Hitec City,17.44440861848948,78.38361349146653,3.44,122.78,1.0,Cancelled by Customer,4,26,21,D8,C18,,5,5
R5,2024-05-23 00:03:03.544333,2024-05-23 00:18:03.544333,Gachibowli,17.44560169442223,78.34118505318565,Gachibowli,17.435804849283425,78.35522436140909,1.85,94.7,1.2,Cancelled by Customer,1,12,15,D10,C13,,3,4
R6,2024-01-10 18:12:21.720752,2024-01-10 18:25:21.720752,Hitec City,17.440662970997703,78.3786170551945,Gachibowli,17.441465240683534,78.3439100798603,3.68,113.66,1.0,Cancelled by Customer,8,10,13,D3,C13,,3,5
R7,2024-03-29 21:32:25.199827,2024-03-29 22:03:25.199827,Gachibowli,17.443414546132317,78.34126200979149,Banjara Hills,17.417830090276492,78.44671546201799,11.54,234.98,1.2,Cancelled by Customer,6,32,31,D4,C1,,5,5
R8,2024-01-12 17:40:44.587328,2024-01-12 18:17:44.587328,Banjara Hills,17.41573487086798,78.4475687690616,Gachibowli,17.44212977816697,78.35093647862354,10.66,233.42,1.0,Cancelled by Customer,9,39,37,D7,C6,,3,5
R9,2024-02-28 04:16:27.072194,2024-02-28 04:53:27.072194,Banjara Hills,17.410690685257645,78.44269734631179,Gachibowli,17.44230135608547,78.34732436315737,10.71,234.02,1.2,Cancelled by Customer,8,39,37,D7,C8,,3,4
